u/M,Real_h,Imag_h,Redh/M,Imdh/M,Momega,A/M,phi,time,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
340.9945919616067,-0.12873377277727227,-0.0887413799672567,-0.002336251624441409,0.003309792116286911,0.06913093336627088,0.15635669724051926,27.670797950080114,0.0065725751196768,0.15635669724051923,-0.0028686059275327986,2.538056721361769,27.670797950080114,5266.543576451484,-19.71653432868474
342.1953424306498,-0.1357566790625727,-0.07784110610413655,-0.002046690241223063,0.0034935276262527924,0.06903376453832345,0.1564899795821247,27.753712708702103,0.0065883366907072,0.1564899795821247,-0.002852844356502399,2.6209714799837607,27.753712708702107,5259.141045605764,-19.633642003535535
343.396092899693,-0.14183259032109963,-0.0663828031592393,-0.0017459950797563363,0.0036580344207706016,0.06906139701330224,0.15659872359783522,27.836582600378524,0.0066040982617375996,0.15659872359783522,-0.0028370827854719994,2.70384137166018,27.836582600378524,5261.246147135855,-19.550716498679034
344.59684336873613,-0.1469310475730134,-0.05442968581120437,-0.00143653941598516,0.0038015673563549664,0.06919997072162659,0.15668861936467993,27.919563718415105,0.006619859832768,0.15668861936467993,-0.002821321214441599,2.7868224896967617,27.919563718415105,5271.802991053439,-19.467624601377267
345.7975938377793,-0.15102644258340475,-0.042052772078567176,-0.0011190502796110983,0.003921422101135537,0.06940003474620841,0.15677187885233235,28.002766394982057,0.0066356214037984005,0.15677187885233235,-0.0028055596434111985,2.8700251662637135,28.002766394982057,5287.0442998603685,-19.384292477104147
346.9983443068225,-0.1540929693625245,-0.029332584363936574,-0.0007932301879214701,0.004014933656059224,0.06960810220406204,0.15685994935746783,28.08622796696135,0.0066513829748288,0.15685994935746783,-0.002789798072380799,2.953486738243003,28.08622796696135,5302.895327472361,-19.300710515733417
348.19909477586555,-0.1561031157861021,-0.016357196679788688,-0.00045901954351527247,0.004080125003141344,0.06979160973060843,0.15695776706283282,28.169930317723516,0.0066671445458592,0.1569577670628328,-0.0027740365013503993,3.0371890890051696,28.169930317723516,5316.875326556736,-19.21690820761411
349.3998452449088,-0.1570306944410222,-0.003219784343832528,-0.0001177466024680517,0.004115580056293905,0.06993911327896413,0.15706370047802412,28.253832583199955,0.0066829061168896,0.1570637004780241,-0.002758274930319999,3.121091354481609,28.253832583199955,5328.11246494425,-19.13292878453993
350.6005957139519,-0.1568566940418976,0.009982515680492679,0.00022755156909566755,0.004120350083780361,0.07004939049916342,0.15717402166091177,28.337889163871875,0.00669866768792,0.15717402166091174,-0.002742513359289599,-3.078037372026056,28.337889163871875,5336.513621378923,-19.04881694604187
351.8013461829951,-0.15557436439880992,0.02315045619236216,0.000572768095075351,0.0040944504221313875,0.07012860473782333,0.15728740089405818,28.422056260196072,0.0067144292589504,0.15728740089405818,-0.0027267517882591987,-2.993870275701857,28.422056260196072,5342.548332895734,-18.96460999100959
