time,Real_h,Imag_h,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
0.03766278420615861,0.12860780035154018,-0.20969332126306112,0.24599035609876047,-0.00018830878138555857,-1.0206447659276363,143.49261729920292,9707.576999276876,-1.9726506449598844
0.03766327873161392,0.1296330322201129,-0.2091054353514722,0.24602805965196237,-0.00018781425593025064,-1.0158432199711716,143.4974188451594,9711.224428504705,-1.9678482039367111
0.037663773255697836,0.13065593854316,-0.20851227535890773,0.24606572953571362,-0.00018731973184633183,-1.0110398838862844,143.50222218124426,9714.8709423244,-1.9630439729528177
0.037664267778408755,0.1316764906750619,-0.20791384757868525,0.2461033648926248,-0.00018682520913541195,-1.0062347580083875,143.50702730712217,9718.51632398367,-1.9582379525934641
0.03766476229974512,0.13269465984032636,-0.20731015850715817,0.24614096483601214,-0.00018633068779904532,-1.0014278431725991,143.51183422195797,9722.16065299511,-1.953430143404404
0.03766525681970537,0.13371041737779776,-0.20670121473287,0.24617852848570876,-0.00018583616783880014,-0.9966191396352623,143.5166429254953,9725.804671257734,-1.9486205455647507
0.03766575133828789,0.13472373455633063,-0.2060870228439856,0.24621605479233497,-0.00018534164925627927,-0.9918086474983576,143.52145341763222,9729.449162304401,-1.943809158865804
0.03766624585549119,0.1357345827718215,-0.20546758952419789,0.24625354272603822,-0.0001848471320529746,-0.9869963662424409,143.52626569888812,9733.094069719315,-1.938995983126631
0.037666740371313706,0.13674293324901246,-0.20484292167992643,0.24629099121955791,-0.00018435261623046123,-0.9821822960250275,143.53107976910553,9736.73894265294,-1.934181018389296
0.03766723488575393,0.13774875732193365,-0.204213026457138,0.24632839933414238,-0.00018385810179023798,-0.9773664367728263,143.53589562835774,9740.38328975439,-1.9293642649386697
0.037667729398810336,0.13875202610645157,-0.20357791116861207,0.24636576601553375,-0.0001833635887338314,-0.9725487891287746,143.54071327600178,9744.027285069227,-1.924545722973619
0.0376682239104814,0.1397527109614805,-0.20293758327090924,0.24640309033151417,-0.00018286907706276806,-0.9677293528477787,143.54553271228278,9747.673031300306,-1.9197253916530315
0.03766871842076565,0.14075078364298463,-0.20229205044803047,0.2464403716329424,-0.000182374566778519,-0.9629081264926961,143.55035393863787,9751.321674078703,-1.914903269569237
0.037669212929661564,0.1417462159851433,-0.20164132068074703,0.24647760943335756,-0.0001818800578826038,-0.9580851086852276,143.55517695644534,9754.972805827856,-1.9100793555159328
