u/M,Real_h,Imag_h,Redh/M,Imdh/M,Momega,A/M,phi,time,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
3123.128,0.02240998,-0.01127272,0.002348662,0.004753311,0.2097332,0.02508548,320.9085,0.04661055129430222,0.02508548225166899,0.011234611406903669,0.46606253616548043,320.90851320232434,15900.779132120311,186.0614888566886
3123.493,0.02148813,-0.01297113,0.002704518,0.004557931,0.2095194,0.0250996,320.9855,0.04661539797739406,0.025099600482354295,0.011239458089995505,0.5430928741514638,320.98554354031035,15885.969170939177,186.13848311486694
3123.857,0.02043932,-0.01459339,0.0030446,0.004335864,0.2093294,0.0251144,321.0625,0.04662024466048591,0.02511439495099374,0.011244304773087355,0.6200510525220362,321.06250171868095,15871.136383891106,186.21540548322727
3124.221,0.01926968,-0.01613001,0.003366911,0.004088411,0.209166,0.02512962,321.1394,0.04662509134357777,0.025129619772342363,0.011249151456179218,0.6969376108722283,321.1393882770311,15856.543721087277,186.29225712557545
3124.586,0.01798603,-0.01757198,0.00366956,0.003817022,0.2090303,0.02514502,321.2162,0.04662993802666961,0.02514501454128233,0.011253998139271054,0.7737543372184168,321.2162050033773,15842.456386815757,186.36904049107866
3124.95,0.01659588,-0.01891086,0.003950771,0.003523286,0.2089218,0.02516036,321.293,0.046634784709761457,0.025160362853385083,0.011258844822362904,0.8505043418786401,321.29295500803755,15829.200935170054,186.44575961160857
3125.315,0.01510733,-0.0201388,0.004208894,0.003208922,0.208839,0.02517544,321.3696,0.0466396313928533,0.02517543813261052,0.011263691505454747,0.9271925782782864,321.36964324443716,15817.016673531383,186.5224196788836
3125.679,0.0135291,-0.02124863,0.004442417,0.002875766,0.2087791,0.0251901,321.4463,0.04664447807594515,0.02519009376097874,0.011268538188546597,1.0038244764287305,321.44627514258764,15806.031450003386,186.59902650426156
3126.044,0.01187041,-0.02223384,0.004649971,0.002525766,0.208739,0.02520417,321.5229,0.046649324759037,0.02520417177202417,0.011273384871638446,1.0804062290342142,321.5228568951931,15796.406232327223,186.6755866792598
3126.408,0.01014095,-0.02308865,0.004830343,0.002160963,0.2087154,0.02521754,321.5994,0.04665417144212885,0.025217545989350353,0.011278231554730296,1.1569448264251712,321.59939549258405,15788.253146324307,186.75210733883395
3126.773,0.008350833,-0.02380805,0.004982479,0.001783487,0.2087048,0.02523014,321.6759,0.0466590181252207,0.02523013389969203,0.011283078237822146,1.2334475481825076,321.6758982143414,15781.633134182543,186.8285959133071
3127.137,0.006510526,-0.02438783,0.00510549,0.001395537,0.2087043,0.02524189,321.7524,0.04666386480831254,0.025241893766228714,0.011287924920913989,1.3099219753714808,321.75237264153037,15776.560093082488,186.90505990035777
3127.502,0.004630784,-0.02482456,0.005198662,0.0009993747,0.2087115,0.02525278,321.8288,0.04666871149140439,0.025252780830004762,0.011292771604005838,1.3863755222837673,321.82882618844263,15773.042076840997,186.98150683669863
3127.866,0.002722593,-0.02511568,0.005261454,0.0005973064,0.2087249,0.02526282,321.9053,0.04667355817449624,0.025262816440493115,0.011297618287097688,1.4628158480531817,321.9052665142121,15771.062512289733,187.05794417871746
3128.23,0.0007971023999999999,-0.02525946,0.005293504,0.0001916723,0.2087437,0.02527204,321.9817,0.04667840485758809,0.025272033786929094,0.011302464970189538,1.5392502063214357,321.9817008724803,15770.537278741598,187.1343789750957
3128.595,-0.001134438,-0.02525503,0.005294631,-0.0002151683,0.2087679,0.02528049,322.0581,0.04668325154067994,0.025280496234780365,0.011307311653281388,1.6156854408097499,322.0581361069686,15771.376098394394,187.21081783696692
3128.959,-0.003060745,-0.02510237,0.005264833,-0.0006208493,0.2087984,0.02528828,322.1346,0.04668809822377178,0.025288280676469977,0.01131215833637323,1.6921279300638494,322.13457859622275,15773.461012843996,187.28726680375777
3129.324,-0.004970569,-0.02480235,0.005204291,-0.001023013,0.2088368,0.02529552,322.211,0.04669294490686363,0.025295515841869308,0.01131700501946508,1.7685833743914068,322.2110340405503,15776.654744505882,187.36373124955392
3129.688,-0.006852759,-0.02435667,0.005113365,-0.001419322,0.2088847,0.02530233,322.2875,0.04669779158995548,0.02530232557297809,0.01132185170255693,1.8450568216561845,322.28750748781505,15780.79332364723,187.44021575373162
3130.053,-0.008696327,-0.02376789,0.004992588,-0.001807475,0.2089443,0.02530886,322.364,0.04670263827304733,0.025308866002708003,0.01132669838564878,1.9215523827468504,322.3640030489057,15785.688196986914,187.51672398180918
3130.417,-0.01049051,-0.02303939,0.004842671,-0.002185216,0.2090175,0.0253153,322.4405,0.04670748495613918,0.02531529758134792,0.01133154506874063,1.9980732778112542,322.44052394397016,15791.132392674685,187.59325859617783
3130.782,-0.01222484,-0.02217538,0.004664489,-0.002550351,0.2091055,0.02532181,322.5171,0.04671233163923102,0.025321812556963613,0.011336391751832466,2.0746216114840883,322.51707227764297,15796.876245636493,187.66982104918148
3131.146,-0.01388918,-0.02118083,0.004459084,-0.002900758,0.2092093,0.02532858,322.5936,0.04671717832232287,0.025328578336758265,0.011341238434924315,2.1511981838185408,322.59364884997746,15802.710571762174,187.74641177931503
3131.511,-0.01547384,-0.02006151,0.004227652,-0.003234402,0.2093286,0.02533582,322.6703,0.04672202500541472,0.025335822619873626,0.011346085118016165,2.227803071751156,322.67025373791006,15808.379275657237,187.82302998385993
3131.875,-0.01696955,-0.01882387,0.00397154,-0.003549342,0.2094621,0.02534371,322.7469,0.04672687168850657,0.025343711428664113,0.011350931801108015,2.30443459290828,322.7468852590672,15813.632166016847,187.8996736474996
3132.239,-0.01836759,-0.01747507,0.003692237,-0.003843746,0.2096074,0.02535244,322.8235,0.04673171837159841,0.025352444338031785,0.011355778484199858,2.3810903990306063,322.8235410651895,15818.176117513329,187.97633933423222
3132.604,-0.01965978,-0.01602292,0.003391363,-0.0041159,0.2097607,0.0253622,322.9002,0.04673656505469026,0.025362194600917327,0.011360625167291707,2.4577659663734557,322.90021663253236,15821.735803995281,188.05302227363725
3132.968,-0.02083858,-0.01447583,0.003070662,-0.004364218,0.2099171,0.02537314,322.9769,0.046741411737782124,0.025373136790812836,0.011365471850383571,2.5344562778407687,322.97690694399967,15824.104021105915,188.12971669104004
3133.333,-0.02189709,-0.01284276,0.002731993,-0.004587251,0.2100707,0.02538541,323.0536,0.04674625842087396,0.025385409882168537,0.011370318533475407,2.611154801178993,323.0536054673379,15825.05362219736,188.20641571085824
3133.697,-0.02282912,-0.01113317,0.002377316,-0.004783694,0.2102147,0.02539913,323.1303,0.04675110510396581,0.02539913766692287,0.011375165216567257,2.687854317477228,323.1303049836361,15824.389935061336,188.2831115139953
3134.062,-0.02362919,-0.009356965,0.002008682,-0.004952396,0.210342,0.02541439,323.207,0.04675595178705765,0.025414393836314983,0.0113800118996591,2.764546407453127,323.206997073612,15821.8937574476,188.3597952189505
3134.426,-0.02429261,-0.007524459,0.001628224,-0.005092368,0.2104453,0.02543125,323.2837,0.0467607984701495,0.025431248177287348,0.01138485858275095,2.8412217273876346,323.2836723935465,15817.448212094605,188.43645737775634
3134.791,-0.02481546,-0.00564628,0.001238142,-0.005202781,0.2105175,0.0254497,323.3603,0.04676564515324136,0.02544970594820302,0.011389705265842806,2.917870725064803,323.3603213912237,15810.996834579855,188.5130882687798
3135.155,-0.02519464,-0.003733332,0.0008406882,-0.005282982,0.2105526,0.02546974,323.4369,0.0467704918363332,0.02546973993883377,0.011394551948934649,2.994483509434505,323.4369341755934,15802.507156975567,188.58967801302632
