time,Real_h,Imag_h,Amplitude,time_sec,phase_raw,phase_unwrapped,Frequency,Phase
0.009941795506532488,-0.0001261318226062,0.0010030767213642143,0.0010109758382952302,0.009938064573942841,1.6958847338061964,196.4746292563735,3766.831860864535,157.11899500142337
0.009950070331323448,-0.0001559024731752643,0.0009903784594397144,0.0010025742237182971,0.009946339398733801,1.726932119524412,196.50567664209171,3712.435373749584,157.14971475368893
0.009958345156114408,-0.00018397806539021427,0.0009748643126126071,0.0009920727576898667,0.009954614223524762,1.7573242383372722,196.53606876090458,3608.5783370174468,157.1795751071722
0.009966619980905369,-0.00020976848504901787,0.0009566556197589286,0.000979383883947505,0.009962889048315722,1.786652826490958,196.56539734905826,3455.2030349802226,157.20816630690388
0.009974894805696329,-0.00023272251640230355,0.0009359336159595,0.0009644332548827033,0.009971163873106682,1.8145066378005636,196.59325116036788,3251.4667163733393,157.2350716242955
0.00998316963048729,-0.0002523366667163393,0.0009129408193270715,0.0009471719658874503,0.009979438697897643,1.8404634612741906,196.6192079838415,2995.5375132597983,157.25985917237247
0.009991444455278248,-0.00026816438178357143,0.000887978335756643,0.0009275870096279391,0.009987713522688601,1.8640817339545745,196.6428262565219,2684.6959562245756,157.28207456102723
0.009999719280069208,-0.0002798266725141071,0.0008613977666716071,0.000905709158106039,0.009995988347479562,1.8848942385836285,196.66363876115093,2315.655699102208,157.3012362062135
0.010007994104860168,-0.0002870240673695,0.0008335888722040715,0.0008816196589866783,0.010004263172270522,1.9024050243270865,196.6811495468944,1884.910669369623,157.31683351174914
0.010016268929651129,-0.0002895486262629643,0.0008049661091664286,0.0008554582654211183,0.010012537997061482,1.9160888496548985,196.6948333722222,1388.9392649997026,157.3283267408123
0.010024543754442089,-0.00028729422021892855,0.0007759576388751429,0.0008274347263076943,0.010020812821852442,1.92539148245342,196.70413600502073,824.264251364395,157.33514738307377
0.01003281857923305,-0.00028026352407132144,0.0007469987075725,0.000797843789246906,0.010029087646643403,1.9297301341778927,196.7084746567452,187.6046138368547,157.33669977838326
0.01004109340402401,-0.00026857106941385715,0.0007185286738609643,0.0007670814001698248,0.010037362471434363,1.9284962730723654,196.70724079563968,-523.4497118014842,157.33236832373123
0.010049368228814968,-0.0002524426589391072,0.0006909885450410358,0.0007356578453535134,0.010045637296225322,1.9210672248738438,196.69981174744115,-1308.7649541758,157.32153852304288
